type,date,date_end,what,where,additional_info,additional_info2,institution,exclude
education,2016-01-01,2020-01-01,PhD,University of Copenhagen,"Supervisors: Carsten Utoft Niemann, Henrik Hjalgrim, and Jens Lundgren","Thesis: Real-world evidence on the risk, type and treatment of infectious complications in chronic lymphocytic leukaemia",,
education,2008-01-01,2015-01-01,Medical doctor,University of Copenhagen,,,,
positions,2023-01-01,2028-01-01,Fellow in Clinical Pharmacology,,"Rotations: \newline 2023–2024: Medical and Science, Cardiovascular, Novo Nordisk \newline 2024–2025: Department of Endocrinology, Herlev Hospital \newline 2025–2026: Department of Genomic Medicine, Rigshospitalet \newline 2026–2028: Department of Clinical Pharmacology, Bispebjerg and Frederiksberg Hospital",,,
positions,2021-01-01,2023-01-01,Resident,"Department of Clinical Pharmacology, Bispebjerg and Frederiksberg Hospital",,,,
positions,2020-01-01,2021-01-01,Resident,"Infectious Disease Epidemiology & Prevention, Statens Serum Institut",,,,
positions,2020-01-01,2020-12-31,Postdoc,"CLL-LAB, Department of Hematology, Rigshospitalet",,,,
positions,2016-01-01,2020-01-01,Clinical Assistant,"CLL-LAB, Department of Hematology, Rigshospitalet",,,,
positions,2015-01-01,2016-01-01,MD,"Department of Infectious Diseases and Department of Urology, Herlev Hospital",,,,
major_grants,2025-01-01,2027-01-01,Capital Region Postdoctoral Stipend,"Bispebjerg and Frederiksberg Hospital",DKK 0.6M,SAMSON-2 trial,,
major_grants,2024-01-01,2025-01-01,Bispebjerg Hospital Postdoctoral Stipend,"Bispebjerg and Frederiksberg Hospital",DKK 0.35M,SAMSON-2 trial,,
major_grants,2024-01-01,2027-01-01,Danish Cancer Society,"Bispebjerg and Frederiksberg Hospital",DKK 2.3M,therapeutic drug monitoring of ibrutinib,,
major_grants,2018-01-01,2018-12-31,AP Møller Research Foundation,Statens Serum Institut,DKK 0.1M,,,
major_grants,2017-01-01,2020-01-01,Research Foundation of Rigshospitalet,Rigshospitalet,DKK 1.8M,PhD research grant,,
major_grants,2016-01-01,2016-12-31,PERSIMUNE research grant,Rigshospitalet,DKK 0.5M,,,
awards,2024-01-01,2024-12-31,Second best oral presentation,DSKF annual meeting,,,,
awards,2023-01-01,2023-12-31,Second best oral presentation,"Lassen-dagen, Bispebjerg and Frederiksberg Hospital",,,,
awards,2022-01-01,2022-12-31,Best poster,"Lassen-dagen, Bispebjerg and Frederiksberg Hospital",,,,
awards,2019-01-01,2019-12-31,Best abstract award,IWCLL conference in Edinburgh,,,,
awards,2019-01-01,2019-12-31,Audience award,"FYF’s annual poster competition, Rigshospitalet",,,,
awards,2018-01-01,2018-12-31,Best scientific visualization,"ARTIS, University of Copenhagen",,,,
awards,2017-01-01,2017-12-31,Best abstract award,IWCLL conference in New York,,,,
teaching,2021-01-01,2025-01-01,Danish health registers for research,,"annual lecture, ~20 students",,,"University of Copenhagen, Department of Computer Science",
teaching,2021-01-01,2023-01-01,Clinical Pharmacology CRASH course instructor,,~20 participants weekly,,,Bispebjerg and Frederiksberg Hospital,
teaching,2021-01-01,2023-01-01,SEMS course: Statistics and R programming,,"20 master students per course, one course per semester",,,"University of Copenhagen, Section of Biostatistics",
academic_commisions,2025-01-01,present,Chair,Danish Society for Personalized Medicine,,,,
academic_commisions,2023-01-01,2025-01-01,Board Member,Danish Society for Personalized Medicine,,,,
academic_commisions,2023-01-01,present,Review Editor,"Frontiers in Epidemiology (Epidemiology of Chronic Diseases and Prevention)",,,,
academic_commisions,2022-01-01,present,Member,Clinical Pharmacogenetics Implementation Consortium (CPIC),,,,
academic_commisions,2022-01-01,present,Member,Pharmacogenomics Global Research Network,,,,
academic_commisions,2017-01-01,2022-01-01,"Webmaster and Secretary",Nordic CLL Study Group,,,,
academic_commisions,2026-04-01,present,Auditor,Danish Society of Clinical Pharmacology,,,,
academic_commisions,2026-04-01,present,Pharmacogenetics Expert,Danish National Strategy for Personalized Medicine,,,,
